name,email,joined_date,country,bet_status
Alice,alice@example.com,2026-05-01,Singapore,active
Bob,bob@example.com,2026-05-02,Australia,completed
Charlie,,2026-05-02,singapore,active
Diana,diana@example.com,2026-05-03,Malaysia,completed
Ethan,ethan@example.com,2026-05-03,Australia,active
Fiona,fiona@example.com,2026-05-04,Singapore,completed
George,george@example.com,2026-05-04,malaysia,active
Hannah,hannah@example.com,2026-05-05,Singapore,completed
Ian,,2026-05-05,Australia,active
Julia,julia@example.com,2026-05-06,Malaysia,completed
Kevin,kevin@example.com,2026-05-06,Singapore,active
Linda,linda@example.com,2026-05-07,australia,completed
Mike,mike@example.com,2026-05-07,Singapore,completed
Nina,nina@example.com,2026-05-08,Malaysia,active
Oscar,oscar@example.com,2026-05-08,Singapore,completed
Paula,paula@example.com,2026-05-09,Australia,active
Quinn,quinn@example.com,2026-05-09,Singapore,completed
Rachel,rachel@example.com,2026-05-10,Malaysia,completed
